Year,strategy,emissions,strategy_id,gdp,intensity
2023,BAU,95.37411252292499,6003,101.162038920033,2.8283567692318874
2023,Conditional,95.37411252292499,6005,101.162038920033,2.8283567692318874
2023,Unconditional,95.37411252292499,6004,101.162038920033,2.8283567692318874
2024,BAU,99.71978230515683,6003,105.576741546273,2.833572456717208
2024,Conditional,93.64943133491306,6005,105.576741546273,2.6610813128912767
2024,Unconditional,99.2868645134311,6004,105.576741546273,2.8212709464020027
2025,BAU,104.22838413171009,6003,107.6882763771985,2.9036136793562517
2025,Conditional,92.09157471717987,6005,107.6882763771985,2.565504188996723
2025,Unconditional,103.34779748915511,6004,107.6882763771985,2.8790821331514294
2026,BAU,108.3593844092875,6003,109.8420419047424,2.959505737427732
2026,Conditional,89.5730186438712,6005,109.8420419047424,2.446413515916365
2026,Unconditional,106.55870775916407,6004,109.8420419047424,2.910325752635979
2027,BAU,112.4096297172697,6003,112.0388827428373,3.0099272761033338
2027,Conditional,87.2947768701852,6005,112.0388827428373,2.3374414685271216
2027,Unconditional,109.6082864024551,6004,112.0388827428373,2.9349173354585885
2028,BAU,116.32604240666164,6003,114.279660397694,3.0537203733852434
2028,Conditional,84.66460927223406,6005,114.279660397694,2.2225637259754003
2028,Unconditional,111.85906310516032,6004,114.279660397694,2.9364559550463314
2029,BAU,119.42967836331312,6003,116.5652536056479,3.0737207187149234
2029,Conditional,81.93266224955602,6005,116.5652536056479,2.1086728604411364
2029,Unconditional,113.21031528768424,6004,116.5652536056479,2.913655101820125
2030,BAU,122.45852934395566,6003,118.8965586777609,3.089875704708542
2030,Conditional,79.93883826402556,6005,118.8965586777609,2.0170181328968386
2030,Unconditional,114.45976303808163,6004,118.8965586777609,2.888050696613413
2031,BAU,124.89091187954769,6003,121.2744898513161,3.0894604141233337
2031,Conditional,78.18196485748378,6005,121.2744898513161,1.9340085030248921
2031,Unconditional,115.12411596154392,6004,121.2744898513161,2.8478565303227596
2032,BAU,127.0443958780697,6003,123.6999796483424,3.081109541955501
2032,Conditional,77.1205950943861,6005,123.6999796483424,1.870346187128565
2032,Unconditional,115.49803547134998,6004,123.6999796483424,2.80108458707166
2033,BAU,128.94266682804934,6003,126.1739792413093,3.0658302354428777
2033,Conditional,76.41278955985129,6005,126.1739792413093,1.8168434574067975
2033,Unconditional,115.61754143581058,6004,126.1739792413093,2.7490028165321774
2034,BAU,130.62740793021496,6003,128.6974588261355,3.044988046889568
2034,Conditional,75.89390616371894,6005,128.6974588261355,1.7691236530065806
2034,Unconditional,115.50837914472416,6004,128.6974588261355,2.692556174728457
2035,BAU,132.14764772852433,6003,131.2714080026581,3.0200250703302087
2035,Conditional,75.30924707564054,6005,131.2714080026581,1.7210734969975097
2035,Unconditional,115.21780120895582,6004,131.2714080026581,2.6331202573820827
2036,BAU,133.5355040057906,6003,133.8968361627113,2.991904241341111
2036,Conditional,74.82706973929756,6005,133.8968361627113,1.676523625585173
2036,Unconditional,114.81080548368229,6004,133.8968361627113,2.5723715833919547
2037,BAU,134.83069871522446,6003,136.5747728859656,2.961689685425345
2037,Conditional,74.26645584810225,6005,136.5747728859656,1.631336174582807
2037,Unconditional,114.2588656853478,6004,136.5747728859656,2.5098090211890596
2038,BAU,136.06516715808684,6003,139.3062683436848,2.9302019666996943
2038,Conditional,73.6626977291632,6005,139.3062683436848,1.5863470884331368
2038,Unconditional,113.62466414748353,6004,139.3062683436848,2.446939369601623
2039,BAU,137.26564252734852,6003,142.0923937105586,2.8980926904565596
2039,Conditional,73.02132158107798,6005,142.0923937105586,1.5417008540898114
2039,Unconditional,112.92687847115425,6004,142.0923937105586,2.384227801127462
2040,BAU,138.45368383370783,6003,144.9342415847698,2.865858660861624
2040,Conditional,72.34841821635608,6005,144.9342415847698,1.4975429703554342
2040,Unconditional,112.18229804013657,6004,144.9342415847698,2.3220661345481193
2041,BAU,139.6463360621127,6003,147.8329264164651,2.833868058636213
2041,Conditional,71.6801236639524,6005,147.8329264164651,1.4546175618959185
2041,Unconditional,111.41054199094752,6004,147.8329264164651,2.2608740425747063
2042,BAU,140.85117245589183,6003,150.7895849447944,2.8022725675806894
2042,Conditional,70.99320256381796,6005,150.7895849447944,1.4124291659097534
2042,Unconditional,110.61632211712659,6004,150.7895849447944,2.200741957562076
2043,BAU,142.07305603102648,6003,153.8053766436904,2.7711590933551693
2043,Conditional,70.28547440845034,6005,153.8053766436904,1.3709301184823113
2043,Unconditional,109.79738164902561,6004,153.8053766436904,2.1416165815201333
2044,BAU,143.31700608297317,6003,156.8814841765642,2.7406103435700917
2044,Conditional,69.55856604550618,6005,156.8814841765642,1.3301486738974366
2044,Unconditional,108.95223868469738,6004,156.8814841765642,2.0834626710072888
2045,BAU,144.58189081310735,6003,160.0191138600954,2.710586641659231
2045,Conditional,68.80018698022032,6005,160.0191138600954,1.289849418370838
2045,Unconditional,108.0786822709353,6004,160.0191138600954,2.0262332354638914
2046,BAU,145.86773340806153,6003,163.2194961372973,2.681071873032132
2046,Conditional,68.00746889546622,6005,163.2194961372973,1.2499879702776355
2046,Unconditional,107.17411553311031,6004,163.2194961372973,1.9698770931682825
2047,BAU,147.1720246710218,6003,166.4838860600433,2.652004854414741
2047,Conditional,67.19840258730682,6005,166.4838860600433,1.2108992199354
2047,Unconditional,106.23374158472087,6004,166.4838860600433,1.9143067374053326
2048,BAU,148.49078816182674,6003,169.8135637812442,2.623302606494631
2048,Conditional,66.34625421701786,6005,169.8135637812442,1.172101675620315
2048,Unconditional,105.25079856083757,6004,169.8135637812442,1.8594062138008516
2049,BAU,149.81923127541012,6003,173.2098350568691,2.594873978597475
2049,Conditional,65.43712874332242,6005,173.2098350568691,1.1333732069285403
2049,Unconditional,104.33294828232104,6004,173.2098350568691,1.807050071632467
2050,BAU,151.15616164443392,6003,176.6740317580064,2.5666957414229707
2050,Conditional,64.46152752844819,6005,176.6740317580064,1.0945840804166789
2050,Unconditional,103.55962846177913,6004,176.6740317580064,1.7584864187108145
